"","filter","3A","3B","3C","3D","3E","3F","3G","3H","4A","4B","4C","4D","4E","4F","4G","4H"
"103.9528122",209516.980298602,143123.0743,153615.9304,175811.3229,164454.1255,153067.2907,162336.9745,154192.9231,730856.4682,170187.3077,101821.7256,156747.4026,155588.0743,188234.8891,288571.6108,144173.2055,803605.8266
"103.9530487",262436.711278064,213160.3034,307977.277,291152.2243,335066.3381,158128.3535,299222.5612,322177.329,766517.1309,293107.7147,308694.085,297235.7509,305842.867,225237.4325,266376.231,267801.572,1222455.107
"105.9515762",77644.7383550091,70913.42076,78165.44853,74493.90626,68106.78,55816.26358,68241.56244,73743.87454,350557.2229,59511.91893,73564.07898,52153.72571,59955.93511,66109.03807,67557.49788,66005.23698,210058.7297
"105.9515762.1",95775.882223895,109778.958,123044.4399,115737.5314,137664.1754,109795.272,109964.0003,55807.9718,372481.1872,116525.7309,117604.6596,108377.0965,135517.5792,91262.0765,98382.30583,93269.79966,394242.2507
"118.0855179",193165.432158358,315993.4324,276467.6922,32521.21037,92744.17556,201257.3651,197986.9363,186504.8792,172454.5599,69646.81337,531235.5923,116790.1309,306709.7822,235948.973,821430.6403,326463.9806,320272.6267
"121.0861588",215373.53857711,407975.625,596746.071,622805.2143,436239.9497,746912.1148,623890.0001,582990.1673,6729.972076,251531.3141,265626.3703,259934.2303,251389.7592,453064.8033,365455.1682,321684.4094,2370.338355
"123.0534821",321584.654423305,265788.9164,112533.319,80961.98575,136753.0645,201380.8735,321213.3702,135448.8143,118177.8561,128504.2346,291363.6824,136491.433,1444098.188,225772.1011,349233.6522,246508.9815,296066.8628
"123.0882111",725390.572367077,378554.393,269657.2377,2459006.689,552887.8996,531599.2197,1003269.804,2053666.802,68202.02213,297783.6641,485171.7188,1920069.569,349798.2857,704418.7295,611260.039,760814.6402,57934.366
"123.0959244",809227.165599104,1915719.438,1868790.473,2139067.835,1281036.208,2108768.774,2302423.689,2435305.152,53138.65714,2559236.968,2517735.946,1301899.751,2386076.117,2118146.414,2731445.033,2251827.977,107831.9779
"124.9875717",644166.130569452,2437803.401,2085756.411,230603.9535,911102.6298,2256030.967,958826.274,1530964.119,1316554.784,1655930.168,1360956.471,1136409.336,553661.2622,1673910.137,2208790.636,2090852.197,1041493.818
"129.0162506",211579.236941449,4012.664063,4433.255463,9146.576111,9253.790039,3297.547185,5348.135254,5872.4442,646200.2727,6988.539429,5806.529297,6892.337758,6546.7332,5024.928967,3776.929527,6056.3412,603583.2079
"130.048111",110792.627303354,106638.0973,99764.43167,18982.08914,55746.6667,117740.7229,262765.2034,102937.6755,10809.03195,1677.192585,159569.4702,57049.29967,280912.884,192785.1888,306871.5953,325137.3563,14072.90986
"132.0746613",1051251.8404671,522186.9642,114900.6922,47224.13071,103849.7714,471771.9938,41009.93164,130913.8338,624.3696404,61200.27625,356337.355,213644.392,4334707.484,131431.8021,331238.8332,156982.182,3121.848202
"132.9847412",319000.855640812,709475.255,710834.536,288145.0508,869072.1323,908044.0397,1122085.718,668742.7829,761282.5379,1131827.008,1657212.967,737397.8862,1226520.914,744418.854,1302066.089,916645.8565,790888.5133
"134.0162048",85820.8895294745,168076.3384,48012.69249,33845.89929,59146.95078,127813.52,101731.1627,51034.44926,91098.60429,60624.3468,173198.886,74564.0782,385064.2807,128514.665,198598.5242,93421.34313,103682.7571
"135.0003815",96484.9465244014,401506.5934,157346.46,204809.0358,350281.9494,168753.7425,157860.9352,259438.4438,86017.41244,127847.24,133059.5222,149757.998,241710.1449,90250.83257,71525.36229,138983.4897,61977.3756
"135.0003815.1",115696.944617757,588303.9616,229808.4836,252231.4969,319745.8165,158121.5428,187402.8035,105974.496,137471.5293,288756.1765,189374.546,161147.6134,383800.2463,236415.763,252623.7873,291852.3588,201092.5807
"136.109848",661803.871289037,1050134.839,1218071.918,810499.9289,1509402.696,2153539.688,1909444.91,2293820.692,49268.4227,2051292.658,992274.3885,973959.966,1578456.337,1556590.874,1224353.064,1568089.482,42678.58777
"136.109848.1",702207.616551082,2194412.249,2040597.609,2163359.956,2153195.415,2108985.354,2096731.258,2148555.794,88701.90932,2197424.262,2153339.844,2203281.415,2055223.952,2050673.724,2026168.43,2247742.287,79865.16602
