"","A549_ACE2-COV2-1","A549_ACE2-COV2-2","A549_ACE2-COV2-3","MEF_B1-Cov2-1","MEF_B1-Cov2-2","MEF_B1-Cov2-3"
"Label","A549_ACE2COV","A549_ACE2COV","A549_ACE2COV","MEF_B1COV","MEF_B1COV","MEF_B1COV"
"103.9535141","939154.8829","1292807.731","592732.3779","1103604.699","512385.0193","526102.3122"
"103.9535141.1","533423.1045","838629.4419","289510.8168","1918827.874","2012195.223","1543184.092"
"105.9522705","284650.7608","181705.7707","240281.0156","887262.936","989532.5054","377765.5952"
"105.9522705.1","728127.8506","592991.1071","164122.9316","485290.8026","324067.2178","148312.2564"
"105.9522705.2","264470.9329","912646.7023","252178.374","944180.3763","979826.9111","1087011.794"
"107.9664536","324640.8685","384374.2113","468229.7808","16710.1074","196245.5046","449592.3109"
"111.1144943","28491.56863","32145.1956","5698.313726","153031.252","125826.376","184179.8806"
"116.0703964","136577.7622","27315.55244","156773.5404","202248.7065","178995.0905","175710.32"
"119.0834351","113902.2546","44432.5175","92368.0576","256314.2764","99921.72444","211178.9824"
"123.097496","624940.6641","824105.5875","910621.1646","33588.30567","63904.56889","315324.7868"
"124.9997177","1423634.805","1635783.723","1817178.009","2657369.398","2350769.868","1145424.952"
"130.157196.1","17088.7122","12940.9","139989.2074","550303.0738","353217.0978","505103.6595"
"132.1003571","34238.82286","29784.61571","40487.67983","1186661.424","1085750.031","721366.3386"
"135.9212341","141656.8313","267165.4765","268721.6938","352551.8902","280567.375","159799.0565"
"138.905426","248506.1056","130389.7629","98315.74133","416776.9496","186579.7961","121863.7742"
"158.960907","540152.4422","175215.4538","234266.5478","530208.22","581122.9118","1001464.939"
"158.960907.1","158729.9774","30598.74797","32865.78286","218976.7236","582200.3051","812572.8318"
"162.1469421","1903815.343","2085431.612","1355753.029","76696.944","85970.42483","51214.6334"
"165.0516663","27340.93143","3514.529016","26628.53071","3307461.104","3348456.772","1849379.932"
"169.9850006","538374.0747","662536.6697","456243.5676","91301.58222","101970.8369","46969.48208"
"176.0645599","31851.931","37980.89225","12923.03518","232504.1643","245437.7107","127514.0317"
"179.0443268","403799.6704","513295.0122","589395.0126","932584.3297","704866.9965","428537.9788"
"184.0959167","531648.312","539303.3764","434205.9484","156289.5471","107529.1374","46527.282"
"184.0959167.1","5547169.136","10442447.86","13837262.73","75407.83322","52408.00033","8382414.166"
"185.0741577","860581.3904","779703.3375","1194703.259","1430051.45","1354906.086","622017.2994"
"187.1047058","127933.5619","133447.3877","123324.4925","217606.2794","745229.24","466877.4823"
"187.2234802","157808.5952","153658.597","142611.87","475095.4333","512439.207","687006.8135"
"196.8620605","182031.3229","244814.4911","369836.6306","563791.2482","675495.2326","480365.6404"
"201.1053314","55487.86347","89027.12683","90429.84527","812749.166","439875.7527","366726.5965"
"203.2167816","29955488.45","26041214.05","74245959.61","9369.2116","423954.0807","283804.0227"
"205.0655823","16188530.03","12830096.47","17201412.99","6235011.353","4492845.687","2149630.758"
"206.0678406","1255900.593","1079412.854","1450275.889","413197.1619","341130.1227","135831.105"
"206.0528717","161082.9279","225130.6461","184024.7203","556738.1451","517613.3103","222349.8209"
"206.8924255","116388.9687","199421.16","49549.51589","187916.9385","159381.9794","349366.8311"
"208.8881836","205978.0685","72587.23071","32345.02025","325448.0412","111077.865","308289.0309"
"212.2336884","21330.2395","458416.4384","173572.4568","124176.3798","106651.1975","201461.8135"
"215.1518555","245656.4236","238334.0234","156656.6341","31269.81111","121849.6373","27312.80383"
"217.1002502","140727.2362","101912.9949","145220.2326","202599.2244","291712.8155","207162.8065"
"217.1002502.1","1554422.87","1323592.569","2144678.991","1929359.559","1812483.406","1893606.464"
"218.2080994","172778.7236","278114.1557","198913.8928","694178.134","109749.2121","105695.4515"
"218.2085266","50128.92425","69608.22429","100249.6757","978581.8829","320773.6269","881805.1726"
"220.2162933","818016.5826","387709.4118","672664.1714","244808.5933","103035.4458","85220.5942"
"223.1522827","77689.81367","20496.8808","1034.095675","1696099.421","1612809.488","1617812.985"
"226.9509583","189120.0778","45089.65286","39185.4485","1113869.595","1151507.2","1743712.599"
"226.9509583.1","240984.9476","590342.0944","640293.9296","4533606.749","3710435.751","4414756.761"
"230.2479095","545610.0658","91463.64837","565291.4099","4437378.76","2269029.036","6043556.509"
"231.1670685","102192.3861","217088.192","111041.1023","4563838.616","4695074.601","2876423.156"
"233.1489258","204686.772","292354.0018","249801.643","441167.5791","292023.6789","197874.6718"
"239.1452484","1120404.519","1779834.429","1653856.625","96870.34667","81243.22308","105114.1222"
"242.0962067","154191.9196","60906.31778","81484.04667","184324.1171","154361.9965","234724.4571"
"242.9248505","232299.6846","227281.4533","180515.2579","52565.76587","141410.9332","108622.2378"
"243.9395447","80243.10391","57028.503","105592.248","957201.8535","607986.6394","1046755.733"
"245.09729","307813.7414","343861.2668","826607.616","88875.932","31775.328","28832.3252"
"245.1850433","42649.49588","1648003.72","3033989.368","50755791.88","47899056.16","51027657.95"
"245.266098","631935.1047","745153.7802","1197213.888","365751.3214","313346.0092","531963.7441"
"247.154892","32419.60656","41139.11111","42241.78978","1561726.808","5809607.304","1061896.724"
"247.1876984","5445.302286","51012.66154","27226.51143","603516.4629","683140.9477","644126.29"
"253.1615448","292311.7687","211955.0189","153433.7545","301860.1031","97756.97818","186789.8107"
"254.2472992","134053.7957","25519.74643","75635.14819","502827.3876","249772.98","517657.3875"
"258.1096802","320751.0709","120946.7783","419915.1385","154705.375","206574.429","366494.2325"
"258.1048279","141120.3378","24489.96643","516144.783","128007.059","24042.24167","45162.63583"
"258.8149109","502469.2292","287227.28","458348.9694","747984.0567","942797.2193","602462.439"
